Fecha;Tipo;Categoria;Subcategoria;Concepto;Descripcion;Monto_Original;Moneda;Tasa_Cambio_USD_COP;Monto_COP;Comision_Bancaria_USD;Proveedor_Pagador;Numero_Factura;Metodo_Pago;Estado;Notas
2026-04-09;Ingreso;Adelanto;Prestamo;Adelanto BRIX Agency;Adelanto de sueldo de la agencia;100.00;USD;3619.00;361900.00;2.99;BRIX Agency;;Transferencia;Completado;Prestamo que se descuenta del sueldo del 15 de abril
2026-04-06;Gasto;Mercado;Alimentos;Maiz Pira MXM 500g;Compra en supermercado Mas x Menos;2000.00;COP;;2000.00;;Mas x Menos;024E01208699;Efectivo;Completado;
2026-04-06;Gasto;Mascotas;Alimento Mascotas;Alim. Sec. Mirringo Adultos 500g;Comida para gato;6250.00;COP;;6250.00;;Mas x Menos;024E01208711;Efectivo;Completado;IVA 5% incluido
2026-04-12;Gasto;Mercado;Alimentos;Azucar MXM Blanca 1000g;Compra en supermercado Mas x Menos;3950.00;COP;;3950.00;;Mas x Menos;023E01200901;Transferencia;Completado;IVA 5% incluido
2026-04-13;Ingreso;Freelance;Diseno Web;Pago Eventive Global - Parte 1;Diseno y Desarrollo en Framer - Cliente Givi;250.00;USD;3514.27;878567.50;4.12;Givi (Eventive Global);;Transferencia;Completado;Primera parte del pago freelance
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Almojabana;Almojabana;3300.00;COP;;3300.00;;Mas x Menos;023E01201199;Tarjeta;Completado;
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Barquillos Piruline;Barquillos Piruline Chocolate;11000.00;COP;;11000.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Cafe Sello Rojo;Cafe Sello Rojo Descafeinado;19850.00;COP;;19850.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 5% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Chicle Trident;Chicle Trident EVUP Coolbubble;4400.00;COP;;4400.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Chocolate Corona;Chocolate Corona Tradicional;15350.00;COP;;15350.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 5% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Chocolatina Jet;Chocolatina Jet Duopack 22g x2;4000.00;COP;;4000.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Chorizo Mac Pollo;Chorizo Mac Pollo Ahumado 300g;14000.00;COP;;14000.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Crema para Cafe;Crema para Cafe Seletti DP 175g;4950.00;COP;;4950.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Doritos;Extruido Doritos Mega Queso 80g;4350.00;COP;;4350.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Galleta Cocosette;Galleta Cocosette Wafer 46g;1900.00;COP;;1900.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Galleta Milo;Galleta Milo Wafer 33g;1900.00;COP;;1900.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Helado Seletti;Helado Seletti Cookies & Cream;19450.00;COP;;19450.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Margarina Campi;Margarina Campi con Sal 500g;15200.00;COP;;15200.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Pan Frances;Pan Frances;3900.00;COP;;3900.00;;Mas x Menos;023E01201199;Tarjeta;Completado;Sin IVA
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Pan Frances con Ajo;Pan Frances con Ajo x2;8600.00;COP;;8600.00;;Mas x Menos;023E01201199;Tarjeta;Completado;Sin IVA
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Pepinillo Coruna;Pepinillo Coruna Agridulce 250g;8800.00;COP;;8800.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Queso Villa Aurora;Queso Villa Aurora Costeno Rallado;9400.00;COP;;9400.00;;Mas x Menos;023E01201199;Tarjeta;Completado;Sin IVA
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Sal Refisal;Sal Refisal Alta Pureza Bolsa;2600.00;COP;;2600.00;;Mas x Menos;023E01201199;Tarjeta;Completado;Sin IVA
2026-04-13;Gasto;Mercado;Alimentos;Compra supermercado - Salsa Mayonesa Heinz;Salsa Mayonesa Heinz 170g;6650.00;COP;;6650.00;;Mas x Menos;023E01201199;Tarjeta;Completado;IVA 19% incluido
2026-04-14;Ingreso;Freelance;Diseno Web;Pago Eventive Global - Parte 2;Diseno y Desarrollo en Framer - Cliente Givi;250.00;USD;3556.99;889247.50;4.12;Givi (Eventive Global);;Transferencia;Completado;Segunda parte del pago freelance
